,Unnamed: 0,id,first_name,last_name,full_name
0,0,1630173,Precious,Achiuwa,Precious Achiuwa
1,1,203500,Steven,Adams,Steven Adams
2,2,1628389,Bam,Adebayo,Bam Adebayo
3,3,1630534,Ochai,Agbaji,Ochai Agbaji
4,4,1631231,James,Akinjo,James Akinjo
5,5,1630583,Santi,Aldama,Santi Aldama
6,6,1641725,Trey,Alexander,Trey Alexander
7,7,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker
8,8,1628960,Grayson,Allen,Grayson Allen
9,9,1628386,Jarrett,Allen,Jarrett Allen
10,10,1630631,Jose,Alvarado,Jose Alvarado
11,11,203937,Kyle,Anderson,Kyle Anderson
12,12,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo
13,13,1630175,Cole,Anthony,Cole Anthony
14,14,1628384,OG,Anunoby,OG Anunoby
15,15,1631317,Adonis,Arms,Adonis Arms
16,16,1642378,Mark,Armstrong,Mark Armstrong
17,17,1630166,Deni,Avdija,Deni Avdija
18,18,1629028,Deandre,Ayton,Deandre Ayton
19,19,1630654,Armando,Bacot,Armando Bacot
20,20,1628963,Marvin,Bagley III,Marvin Bagley III
21,21,1641735,Amari,Bailey,Amari Bailey
22,22,1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.
23,23,1630163,LaMelo,Ball,LaMelo Ball
24,24,1628366,Lonzo,Ball,Lonzo Ball
25,25,1628964,Mo,Bamba,Mo Bamba
26,26,1631094,Paolo,Banchero,Paolo Banchero
27,27,1630217,Desmond,Bane,Desmond Bane
28,28,1630625,Dalano,Banton,Dalano Banton
29,29,1631230,Dominick,Barlow,Dominick Barlow
30,30,203084,Harrison,Barnes,Harrison Barnes
31,31,1630567,Scottie,Barnes,Scottie Barnes
32,32,1629628,RJ,Barrett,RJ Barrett
33,33,1629646,Charles,Bassey,Charles Bassey
34,34,1641734,Emoni,Bates,Emoni Bates
35,35,1628966,Keita,Bates-Diop,Keita Bates-Diop
36,36,1642419,Jamison,Battle,Jamison Battle
37,37,201587,Nicolas,Batum,Nicolas Batum
38,38,203078,Bradley,Beal,Bradley Beal
39,39,1627736,Malik,Beasley,Malik Beasley
40,40,1630699,MarJon,Beauchamp,MarJon Beauchamp
41,41,1641777,Charles,Bediako,Charles Bediako
42,42,1641736,Reece,Beekman,Reece Beekman
43,43,1631262,Jules,Bernard,Jules Bernard
44,44,1630180,Saddiq,Bey,Saddiq Bey
45,45,1629048,Goga,Bitadze,Goga Bitadze
46,46,1641931,Onuralp,Bitim,Onuralp Bitim
47,47,1641710,Anthony,Black,Anthony Black
48,48,1641778,Leaky,Black,Leaky Black
49,49,203992,Bogdan,Bogdanović,Bogdan Bogdanović
50,50,202711,Bojan,Bogdanović,Bojan Bogdanović
51,51,1629626,Bol,Bol,Bol Bol
52,52,1641737,Adem,Bona,Adem Bona
53,53,1626164,Devin,Booker,Devin Booker
54,54,1630527,Brandon,Boston Jr.,Brandon Boston Jr.
55,55,1628449,Chris,Boucher,Chris Boucher
56,56,1631103,Malaki,Branham,Malaki Branham
57,57,1631128,Christian,Braun,Christian Braun
58,58,1641779,Jalen,Bridges,Jalen Bridges
59,59,1628969,Mikal,Bridges,Mikal Bridges
60,60,1628970,Miles,Bridges,Miles Bridges
61,61,1627763,Malcolm,Brogdon,Malcolm Brogdon
62,62,1628415,Dillon,Brooks,Dillon Brooks
63,63,1631232,Keion,Brooks Jr.,Keion Brooks Jr.
64,64,1628971,Bruce,Brown,Bruce Brown
65,65,1627759,Jaylen,Brown,Jaylen Brown
66,66,1631112,Kendall,Brown,Kendall Brown
67,67,1641738,Kobe,Brown,Kobe Brown
68,68,1629650,Moses,Brown,Moses Brown
69,69,1629718,Charlie,Brown Jr.,Charlie Brown Jr.
70,70,1628973,Jalen,Brunson,Jalen Brunson
71,71,1628418,Thomas,Bryant,Thomas Bryant
72,72,1641723,Kobe,Bufkin,Kobe Bufkin
73,73,202692,Alec,Burks,Alec Burks
74,74,1630215,Jared,Butler,Jared Butler
75,75,202710,Jimmy,Butler,Jimmy Butler
76,76,1641824,Matas,Buzelis,Matas Buzelis
77,77,1631288,Jamal,Cain,Jamal Cain
78,78,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope
79,79,1641739,Toumani,Camara,Toumani Camara
80,80,203991,Clint,Capela,Clint Capela
81,81,1642382,Branden,Carlson,Branden Carlson
82,82,1642267,Carlton,Carrington,Carlton Carrington
83,83,1642269,Devin,Carter,Devin Carter
84,84,1628975,Jevon,Carter,Jevon Carter
85,85,1628976,Wendell,Carter Jr.,Wendell Carter Jr.
86,86,1630618,D.J.,Carton,D.J. Carton
87,87,1627936,Alex,Caruso,Alex Caruso
88,88,1642264,Stephon,Castle,Stephon Castle
89,89,1630658,Colin,Castleton,Colin Castleton
90,90,1630577,Julian,Champagnie,Julian Champagnie
91,91,1630551,Justin,Champagnie,Justin Champagnie
92,92,1642279,Ulrich,Chomche,Ulrich Chomche
93,93,1642353,Cam,Christie,Cam Christie
94,94,1631108,Max,Christie,Max Christie
95,95,1630528,Josh,Christopher,Josh Christopher
96,96,1631321,Sidy,Cissoko,Sidy Cissoko
97,97,1641740,Jaylen,Clark,Jaylen Clark
98,98,1629634,Brandon,Clarke,Brandon Clarke
