Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,first_name,last_name,full_name,picture_link
0,0,0,0,1630173,Precious,Achiuwa,Precious Achiuwa,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
1,1,1,1,203500,Steven,Adams,Steven Adams,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
2,2,2,2,1628389,Bam,Adebayo,Bam Adebayo,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
3,3,3,3,1630534,Ochai,Agbaji,Ochai Agbaji,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png
4,4,4,4,1631231,James,Akinjo,James Akinjo,https://cdn.nba.com/headshots/nba/latest/1040x760/1631231.png
5,5,5,5,1630583,Santi,Aldama,Santi Aldama,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png
6,6,6,6,1641725,Trey,Alexander,Trey Alexander,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png
7,7,7,7,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
8,8,8,8,1628960,Grayson,Allen,Grayson Allen,https://cdn.nba.com/headshots/nba/latest/1040x760/1628960.png
9,9,9,9,1628386,Jarrett,Allen,Jarrett Allen,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
10,10,10,10,1630631,Jose,Alvarado,Jose Alvarado,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
11,11,11,11,203937,Kyle,Anderson,Kyle Anderson,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
12,12,12,12,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
13,13,13,13,1630175,Cole,Anthony,Cole Anthony,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png
14,14,14,14,1628384,OG,Anunoby,OG Anunoby,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png
15,15,15,15,1631317,Adonis,Arms,Adonis Arms,https://cdn.nba.com/headshots/nba/latest/1040x760/1631317.png
16,16,16,16,1642378,Mark,Armstrong,Mark Armstrong,https://cdn.nba.com/headshots/nba/latest/1040x760/1642378.png
17,17,17,17,1630166,Deni,Avdija,Deni Avdija,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
18,18,18,18,1629028,Deandre,Ayton,Deandre Ayton,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png
19,19,19,19,1630654,Armando,Bacot,Armando Bacot,https://cdn.nba.com/headshots/nba/latest/1040x760/1630654.png
