,id,first_name,last_name
0,1630173,Precious,Achiuwa
1,203500,Steven,Adams
2,1628389,Bam,Adebayo
3,1630534,Ochai,Agbaji
4,1631231,James,Akinjo
5,1630583,Santi,Aldama
6,1641725,Trey,Alexander
7,1629638,Nickeil,Alexander-Walker
8,1628960,Grayson,Allen
9,1628386,Jarrett,Allen
10,1630631,Jose,Alvarado
11,203937,Kyle,Anderson
12,203507,Giannis,Antetokounmpo
13,1630175,Cole,Anthony
14,1628384,OG,Anunoby
15,1631317,Adonis,Arms
16,1642378,Mark,Armstrong
17,1630166,Deni,Avdija
18,1629028,Deandre,Ayton
19,1630654,Armando,Bacot
20,1628963,Marvin,Bagley III
21,1641735,Amari,Bailey
22,1631116,Patrick,Baldwin Jr.
23,1630163,LaMelo,Ball
24,1628366,Lonzo,Ball
25,1628964,Mo,Bamba
26,1631094,Paolo,Banchero
27,1630217,Desmond,Bane
28,1630625,Dalano,Banton
29,1631230,Dominick,Barlow
30,203084,Harrison,Barnes
31,1630567,Scottie,Barnes
32,1629628,RJ,Barrett
33,1629646,Charles,Bassey
34,1641734,Emoni,Bates
35,1628966,Keita,Bates-Diop
36,1642419,Jamison,Battle
37,201587,Nicolas,Batum
38,203078,Bradley,Beal
39,1627736,Malik,Beasley
40,1630699,MarJon,Beauchamp
41,1641777,Charles,Bediako
42,1641736,Reece,Beekman
43,1631262,Jules,Bernard
44,1630180,Saddiq,Bey
45,1629048,Goga,Bitadze
46,1641931,Onuralp,Bitim
47,1641710,Anthony,Black
48,1641778,Leaky,Black
49,203992,Bogdan,Bogdanović
50,202711,Bojan,Bogdanović
51,1629626,Bol,Bol
52,1641737,Adem,Bona
53,1626164,Devin,Booker
54,1630527,Brandon,Boston Jr.
55,1628449,Chris,Boucher
56,1631103,Malaki,Branham
57,1631128,Christian,Braun
58,1641779,Jalen,Bridges
59,1628969,Mikal,Bridges
60,1628970,Miles,Bridges
61,1627763,Malcolm,Brogdon
62,1628415,Dillon,Brooks
63,1631232,Keion,Brooks Jr.
64,1628971,Bruce,Brown
65,1627759,Jaylen,Brown
66,1631112,Kendall,Brown
67,1641738,Kobe,Brown
68,1629650,Moses,Brown
69,1629718,Charlie,Brown Jr.
70,1628973,Jalen,Brunson
71,1628418,Thomas,Bryant
72,1641723,Kobe,Bufkin
73,202692,Alec,Burks
74,1630215,Jared,Butler
75,202710,Jimmy,Butler
76,1641824,Matas,Buzelis
77,1631288,Jamal,Cain
78,203484,Kentavious,Caldwell-Pope
79,1641739,Toumani,Camara
80,203991,Clint,Capela
81,1642382,Branden,Carlson
82,1642267,Carlton,Carrington
83,1642269,Devin,Carter
84,1628975,Jevon,Carter
85,1628976,Wendell,Carter Jr.
86,1630618,D.J.,Carton
87,1627936,Alex,Caruso
88,1642264,Stephon,Castle
89,1630658,Colin,Castleton
90,1630577,Julian,Champagnie
91,1630551,Justin,Champagnie
92,1642279,Ulrich,Chomche
93,1642353,Cam,Christie
94,1631108,Max,Christie
95,1630528,Josh,Christopher
96,1631321,Sidy,Cissoko
97,1641740,Jaylen,Clark
98,1629634,Brandon,Clarke
99,203903,Jordan,Clarkson
100,1629651,Nic,Claxton
101,1642270,Donovan,Clingan
102,1641730,Noah,Clowney
103,1629599,Amir,Coffey
104,1642268,Isaiah,Collier
105,1628381,John,Collins
106,1628380,Zach,Collins
107,201144,Mike,Conley
108,1626192,Pat,Connaughton
109,1641731,Bilal,Coulibaly
110,1641741,Ricky,Council IV
111,1628470,Torrey,Craig
112,1642384,Isaiah,Crawford
113,1630622,Jalen,Crutcher
114,1629633,Jarrett,Culver
115,1630595,Cade,Cunningham
116,203552,Seth,Curry
117,201939,Stephen,Curry
118,1642359,Pacôme,Dadiet
119,1641915,Caleb,Daniels
120,1630700,Dyson,Daniels
121,1642368,N'Faly,Dante
122,1630268,Nate,Darling
123,203076,Anthony,Davis
124,1631098,Johnny,Davis
125,1629056,Terence,Davis
126,1631120,JD,Davison
127,201942,DeMar,DeRozan
128,1628978,Donte,DiVincenzo
129,1631217,Moussa,Diabaté
130,1629603,Mamadi,Diakite
131,1641711,Gradey,Dick
132,1631172,Ousmane,Dieng
133,1642265,Rob,Dillingham
134,203915,Spencer,Dinwiddie
135,1629029,Luka,Dončić
136,1629652,Luguentz,Dort
137,1630245,Ayo,Dosunmu
138,1630288,Jeff,Dowtin Jr.
139,1628408,PJ,Dozier
140,203083,Andre,Drummond
141,1630537,Chris,Duarte
142,1642505,Alex,Ducas
143,1630561,David,Duke Jr.
144,1627739,Kris,Dunn
145,1642346,Ryan,Dunn
146,201142,Kevin,Durant
147,1631105,Jalen,Duren
148,1631106,Tari,Eason
149,1641744,Zach,Edey
150,1630162,Anthony,Edwards
151,1642399,Jesse,Edwards
152,1642348,Justin,Edwards
153,1630556,Kessler,Edwards
154,1642407,Boogie,Ellis
155,1631165,Keon,Ellis
156,203954,Joel,Embiid
157,1642401,Aaron,Estrada
158,1629234,Drew,Eubanks
159,1641787,Tosan,Evbuomwan
160,203957,Danté,Exum
161,1628981,Bruno,Fernando
162,1642499,Max,Fiedler
163,1642271,Kyle,Filipowski
164,1627827,Dorian,Finney-Smith
165,1641745,Adam,Flagler
166,1642280,Trentyn,Flowers
167,1630201,Malachi,Flynn
168,1631323,Simone,Fontecchio
169,1628368,De'Aaron,Fox
170,1642402,Enrique,Freeman
171,1641847,Andrew,Funk
172,1642277,Johnny,Furphy
173,1629655,Daniel,Gafford
174,1629636,Darius,Garland
175,1630568,Luka,Garza
176,1641718,Keyonte,George
177,1642273,Kyshawn,George
178,202331,Paul,George
179,201959,Taj,Gibson
180,1630581,Josh,Giddey
181,1628385,Harry,Giles III
